Name,C02502,C00116,C00137,C01697,C01697,C01697,C00192,C00189,C00315,C01026,C00041,C00141,C05984,C00213,C02356,C00233,C00183,C00086,C00123,C00407,C00148,C00037,C00065,C00188,C00099,C00263,C05145,C00872,C00073,C00049,C01879,C00791,C01087,C00062,C00025,C00079,C01042,C00152,C00956,C00064,C00077,C00327,C00047,C00135,C00082,C00078,C00491,C16884,C00503,C01620,C00259,C00181,C02674,C00121,C00532,C00474,C00507,C00795,C08356,C00198,C01487,C00159,C00984,C00031,C00392,C00794,C00880,C00243,C00208,C00252,C01620,C00252,C01601,C06424,C08362,C00249,C01595,C00712,C00712,C01530,C06429,C08281,C08320,C00093,C00346,C00187,C01551,C00242,C01762,C00022,C00186,C00160,C00209,C00383,C00180,C01384,C00042,C00258,C00122,C00408,C00489,C00711,C01013,C00026,C00311,C00158,C00366,C08363,C03758,C00009,C02477
G26,77378,105485,121451,8642,419,273,9001,53827,9531,83856,515949,3811,294194,2884,27619,4610,579905,8318,315025,865,380251,307314,77402,89356,3749,294,379,11475,25196,26722,458348,21597,2353,16480,135626,84753,5265,8412,6496,44250,161228,6543,214704,46068,211712,269424,9254,1708,10054,18215,3054,3935,344,2940,8922,4289,7868,16166,33725,34681,301569,142986,575678,420037,68388,9654,4593,1400,9641,51,47868,206593,768,10786,25823,419189,91525,3904,9388,454253,551,1201,716,36433,9582,17693,134,2151,562,43306,97720,67973,88033,1290,6947,12563,14689,15137,39005,19246,7726,16465,1163,44133,16395,238980,50444,283145,2817,146713,10259
G27,65663,98010,261549,8599,2538,2335,6833,72297,5777,37246,426986,1840,154142,3994,65843,3242,533800,3308,326377,7417,371530,235199,95985,205116,1234,407,2905,16579,30228,7494,863851,55450,2198,33544,66383,105123,4635,35097,754,570755,183565,4379,270112,101305,146761,174441,20072,4894,16587,10233,8746,8676,691,4240,25164,2437,12799,19690,20392,137767,273385,331818,795988,76910,137391,437815,4888,3628,11903,10481,8008,299065,485,9547,21822,520943,102643,1099,4708,151073,437,758,636,865,10095,24833,117,3691,1885,78666,1670654,52110,66006,572,2902,7470,3165,15275,7760,18463,3644,9074,2762,34041,388155,383593,51488,210893,2447,900263,22521
G28,63572,35328,189958,8350,460,438,7218,227021,4017,46779,464609,2334,82430,11524,25628,4040,539630,2708,318455,2509,614024,262893,112057,257522,1800,441,3121,17958,35748,16607,600344,64877,2298,46270,34982,99682,5009,52564,960,588487,109510,6712,203938,97391,206272,215322,24972,7699,16947,5686,10093,10418,889,4741,32250,27026,12490,13070,3335,83391,145505,186194,598686,30715,176671,275411,3183,3253,13647,11516,20356,316520,154,3265,3579,148142,16627,1427,1889,63427,206,994,1176,4470,8557,21838,100,2769,628,109260,2367726,55315,48678,503,2115,13426,2798,13784,7031,25234,3391,7139,6363,17504,478275,472655,27446,133439,1408,1174640,17330
G29,65410,47204,196475,8188,849,2194,8255,151649,14576,46133,642806,2860,121845,4999,38249,4859,523849,3768,359334,2013,587491,204003,98890,165629,1410,313,1441,12098,31752,12526,1072653,50561,2773,29546,92104,107426,4959,31545,1280,482395,156511,5230,233918,98582,177861,198664,21463,6125,19341,9557,8860,9536,811,5061,35193,23460,12664,19931,5387,125979,271486,155042,744874,39232,103051,141742,2934,8919,13930,12559,22007,328377,283,5289,7112,223791,24529,5353,6060,123798,354,1282,448,3057,15077,20449,98,2641,1497,84960,324696,59249,50463,488,2168,12009,3030,11454,6997,38556,4071,9203,1355,141325,35335,428370,25525,179849,4189,844113,21371
G30,64197,99072,289275,9746,1892,2293,6963,58009,9590,36991,349394,2688,105617,6362,36610,4116,397434,2209,174460,85562,243649,318226,100710,185459,2211,490,910,28611,32391,10067,746220,66133,2584,38525,46565,112126,5622,44185,1059,545728,94696,8399,234740,86020,161729,239047,22659,5583,24567,8964,9195,11853,575,4985,4812,40431,10397,15339,11146,131223,253672,154968,169406,157132,151641,104286,6998,5897,12065,10288,47602,285176,895,4397,9105,341883,47144,5117,1049,152578,316,1514,1083,2891,13877,26279,190,3766,380,87603,888515,68428,75541,477,4342,10971,3903,38112,9117,1647,4151,13345,47717,19341,430895,425832,6360,272331,4715,308369,18277
G36,64577,19303,161280,9355,1160,2311,6801,137072,6677,36001,434159,2880,98206,8877,32935,3708,537910,2247,313373,6292,499791,314302,104186,142477,918,308,4684,16398,18373,15724,1190705,47815,1482,27345,12358,71328,4698,34398,982,528778,138529,5880,220243,120309,164976,219065,21392,5843,14281,3924,7693,5646,312,3982,28012,55094,7543,17068,10041,126605,245192,200531,237003,68892,96835,85373,7151,1134,13760,12158,21281,326102,386,5496,9981,319593,15042,1456,4879,142716,357,793,769,3651,8789,23810,53,3105,449,75415,1921888,63600,89534,632,3804,10051,878,18597,5001,12014,1009,5061,11283,17580,392693,388078,29532,234134,1053,158590,15961
G46,69385,39710,148844,10464,886,874,7967,101314,5865,34123,351172,2267,98587,39810,32055,3185,429765,3700,221932,7617,241111,251495,111099,185841,992,301,1535,14566,18998,11412,1219055,43262,1634,26593,72121,73639,4633,36821,800,527430,104031,4890,208677,87159,116246,208978,16986,3238,16724,5391,7229,8130,573,3955,26970,22785,8701,11062,5828,111124,37802,514703,652229,31950,87881,332847,4041,2694,12350,10848,11107,298831,366,5290,8872,274157,35882,2374,3294,126989,154,783,767,3801,11019,19278,94,2190,546,55845,1299946,49272,85854,30,2412,11210,2329,17916,7225,8143,2385,6307,3557,7536,112234,243521,30065,219657,1788,490233,15786
G49,66087,94340,179938,50173,49063,35134,15987,60224,22644,35280,359107,2809,213374,7110,56048,2290,372979,3241,212148,17737,241832,266376,78321,136306,2564,250,73,10099,21209,16846,1573739,35610,6257,30033,26870,81475,2420,30330,121,522015,85827,5111,244232,67925,142881,239937,29637,52839,18665,6599,4621,4584,886,3794,19294,12416,7256,8210,4878,144923,408784,117716,40147,32252,23875,136220,4316,1527,2538,13448,28880,111984,646,5938,6836,284807,53706,4329,173,121630,613,1037,2145,6180,20735,26992,216,3585,655,81143,786740,33589,96621,92,4370,11430,1621,31108,9538,6373,3003,3002,6369,7078,422840,468278,51404,265532,2095,291481,22745
G50,67493,35416,125626,30213,33291,19950,10172,66676,11047,21103,322482,2043,117505,3867,24542,2354,299758,1582,100363,6875,171856,164563,60385,120915,816,129,1055,12692,11794,1766,251981,41422,4071,12000,13424,51456,2963,21304,272,341598,56600,4294,119790,33575,52770,117037,18870,51248,66937,6769,3498,3470,549,922,12710,17009,4545,7918,24909,45949,456657,188205,30526,152605,139572,299956,4452,3087,5950,9925,18047,75505,721,386,6056,45646,4961,799,1053,28410,316,1015,2325,1844,8387,24309,563,2261,526,91895,749680,27565,80803,433,975,8802,677,18583,6968,3375,8386,2437,3928,3644,247389,266821,16798,26301,620,217185,14240
G51,74853,28307,119569,26824,35691,17101,7759,54380,11888,30103,412004,2581,138354,5526,38504,3484,440453,2585,212836,25976,362203,348778,100470,204790,1638,199,1521,46910,29710,11501,150881,46635,5121,17174,7327,86913,3142,29134,356,466147,114644,4692,250206,71664,132134,221590,18266,52637,67489,7805,4677,4640,455,3017,7311,13534,12010,9248,4500,72532,162350,353640,49144,200787,326468,127041,3586,6482,6687,9308,50599,77658,634,3981,4647,238665,23373,1063,4889,110796,459,527,542,818,8555,24625,149,3649,567,82098,1148744,59533,61397,386,3669,9372,1564,30624,8537,14526,1887,5709,9983,2511,390262,385676,72342,173193,665,40392,12922
G53,78423,83748,223309,33134,49169,23028,9594,52642,12807,31227,283345,2112,114692,1014,46405,3026,359338,3888,170244,15178,190317,240282,91026,160731,1289,295,675,26691,24533,14052,333055,40210,5881,19490,9682,92074,3366,34583,307,467369,109584,3362,251650,59600,130550,198286,19043,59428,69147,7362,4200,4166,533,3031,51729,10721,9052,10261,13679,141972,81522,393488,277745,127633,106062,128299,2653,8668,8100,11767,54407,94176,490,5283,8071,301136,59892,2759,237892,132327,597,565,1569,3463,12838,26759,178,3512,665,65489,1253808,37979,110858,412,3582,8819,785,31203,8368,6616,3055,4311,10923,4670,336629,332673,58757,348362,483,359074,23869
G54,51434,38594,158026,23821,31719,15381,6468,44781,9896,33289,248734,2150,66401,10455,23938,3196,433860,171,229019,27437,294978,339702,122634,239402,1588,428,942,25957,33706,9764,169001,53415,8108,36223,21905,100553,4372,32433,349,495474,129112,4479,203745,61068,160465,222696,24692,69233,89325,13845,6696,6643,708,3433,9510,6717,11052,9447,1791,150170,133431,308259,190247,115410,245509,137899,3064,4946,8806,10156,51619,92412,1032,2580,3781,146529,15134,2074,33355,83965,595,1045,851,4095,6643,27219,342,3022,972,125111,716786,59169,20333,402,4306,10136,2679,38832,8457,7562,2343,10636,12294,4820,262198,259117,34907,113678,2025,447960,22147
